Kalimat Teks (Input),Entitas & Label (Output)
"Dok, saya mengalami batuk kering yang parah sejak 3 hari lalu.","batuk kering (G02), parah (INTENSITAS), 3 hari (DURASI)"
"Kepala rasanya pusing berat dan badan lemas.","pusing (G04), berat (INTENSITAS), lemas (G06)"
"Anak saya demam tinggi naik turun sudah seminggu.","demam (G01), tinggi (INTENSITAS), seminggu (DURASI)"
"Tenggorokan sakit banget buat nelan dari kemarin sore.","sakit (G05), banget (INTENSITAS), kemarin sore (DURASI)"
"Hidung mampet total, susah napas sudah 2 jam.","mampet (G03), total (INTENSITAS), 2 jam (DURASI)"
"Saya merasa sesak napas sedikit kalau berjalan jauh.","sesak napas (G07), sedikit (INTENSITAS)"
"Pilek nggak sembuh-sembuh udah sebulan dok.","Pilek (G03), sebulan (DURASI)"
"Badan menggigil hebat pas malam hari.","menggigil (G01), hebat (INTENSITAS)"
"Cuma bersin-bersin biasa aja sih, tapi sering.","bersin-bersin (G03), biasa (INTENSITAS)"
"Nyeri dada menusuk saat menarik napas dalam.","Nyeri dada (G14), menusuk (INTENSITAS)"
"Suara saya serak parah, hampir hilang suaranya.","serak (G12), parah (INTENSITAS)"
"Batuk berdahak warna hijau sudah 5 hari.","Batuk berdahak (G02), 5 hari (DURASI)"
"Dok, dada terasa sesak banget kayak ditindih.","sesak (G07), banget (INTENSITAS)"
"Saya mual dan muntah-muntah dari tadi pagi.","tadi pagi (DURASI)"
"Tulang-tulang rasanya ngilu semua sejak kemarin.","semua (INTENSITAS), kemarin (DURASI)"
"Hidung berair terus, nggak berhenti udah 2 hari.","Hidung berair (G03), 2 hari (DURASI)"
"Leher bengkak dan nyeri telan yang sangat mengganggu.","nyeri telan (G05), sangat mengganggu (INTENSITAS)"
"Napas anak saya bunyi ngik-ngik kencang sekali.","bunyi ngik-ngik (G09), kencang (INTENSITAS)"
"Kepala sakit nyut-nyutan di sebelah kanan.","sakit (G04), nyut-nyutan (INTENSITAS)"
"Kondisi badan panas tinggi sampai 39 derajat.","panas (G01), tinggi (INTENSITAS)"
"Udah seminggu ini batuk terus pas malam.","seminggu (DURASI), batuk (G02)"
"Dok, saya susah napas parah kalau tidur telentang.","susah napas (G07), parah (INTENSITAS)"
"Mata berair dan hidung gatal banget.","berair (G03), hidung gatal (G03), banget (INTENSITAS)"
"Dahak susah keluar, nyangkut di tenggorokan sudah lama.","Dahak (G02), sudah lama (DURASI)"
"Badan rasanya meriang sedikit sih dok.","meriang (G01), sedikit (INTENSITAS)"
"Radang tenggorokan kambuh lagi, sakitnya lumayan.","Radang tenggorokan (G05), lumayan (INTENSITAS)"
"Batuk sampai muntah, saking kencangnya.","Batuk (G02)"
"Saya merasa kelelahan yang ekstrem tanpa sebab.","kelelahan (G06), ekstrem (INTENSITAS)"
"Hidung tersumbat sebelah kiri saja.","Hidung tersumbat (G03), sebelah (INTENSITAS)"
"Dok, ingus saya kental dan berwarna kuning pekat.","ingus (G03), pekat (INTENSITAS)"
"Sakit kepala bagian depan terasa berat.","Sakit kepala (G04), terasa berat (INTENSITAS)"
"Napas jadi pendek-pendek dan cepat.","cepat (G08), pendek-pendek (INTENSITAS)"
"Demam mendadak tadi malam, panas banget.","Demam (G01), panas (G01), banget (INTENSITAS)"
"Tenggorokan gatal dan kering sekali.","gatal (G05), kering (G05), sekali (INTENSITAS)"
"Batuk rejan yang keras sudah dua minggu.","Batuk rejan (G02), keras (INTENSITAS), dua minggu (DURASI)"
"Penciuman saya hilang total sejak pagi.","Penciuman (G11), hilang total (INTENSITAS), sejak pagi (DURASI)"
"Dada terasa panas dan terbakar sedikit.","panas (G14), terbakar (G14), sedikit (INTENSITAS)"
"Anak rewel karena pilek dan hidung buntu.","pilek (G03), hidung buntu (G03)"
"Suara hilang sama sekali, nggak bisa ngomong 3 hari.","Suara hilang (G12), 3 hari (DURASI)"
"Tiap nelan ludah sakitnya minta ampun dok, parah.","sakitnya (G05), parah (INTENSITAS)"
"Bibir kering dan pecah-pecah karena panas dalam.","(Dibiarkan kosong karena bukan G01-G15)"
"Dok, saya bersin terus menerus non-stop.","bersin (G03), non-stop (INTENSITAS)"
"Kepala kliyeran sedikit kalau bangun tidur.","kliyeran (G04), sedikit (INTENSITAS)"
"Badan lemah letih lesu, nggak ada tenaga seharian.","lemah (G06), seharian (DURASI)"
"Napas berat dan berbunyi grok-grok.","Napas berat (G07), grok-grok (G09)"
"Saya curiga flu, badan sakit semua.","flu (G03)"
"Demam cuma sumer-sumer (hangat kuku) aja kok.","Demam (G01), sumer-sumer (INTENSITAS)"
"Batuknya jarang-jarang tapi sakit di dada.","Batuknya (G02), jarang-jarang (INTENSITAS), sakit (G14)"